,itemID,rating,userID
0,5,7.0,0w0
1,6,8.0,0w0
2,56,8.0,0w0
3,69,7.0,0w0
4,70,7.0,0w0
5,80,4.0,0w0
6,99,8.0,0w0
7,114,10.0,0w0
8,127,7.0,0w0
9,134,6.0,0w0
10,151,8.0,0w0
11,156,5.0,0w0
12,157,6.0,0w0
13,172,9.0,0w0
14,173,7.0,0w0
15,183,10.0,0w0
16,248,7.0,0w0
17,265,7.0,0w0
18,272,8.0,0w0
19,287,4.0,0w0
20,292,7.0,0w0
21,294,8.0,0w0
22,340,9.0,0w0
23,357,8.0,0w0
24,404,8.0,0w0
25,425,8.0,0w0
26,429,4.0,0w0
27,433,5.0,0w0
28,437,9.0,0w0
29,461,6.0,0w0
30,468,7.0,0w0
31,470,6.0,0w0
32,491,9.0,0w0
33,510,5.0,0w0
34,532,3.0,0w0
35,552,8.0,0w0
36,568,8.0,0w0
37,594,9.0,0w0
38,595,7.0,0w0
39,602,9.0,0w0
40,615,7.0,0w0
41,632,6.0,0w0
42,4,5.0,10sion
43,11,9.0,10sion
44,62,7.0,10sion
45,69,5.0,10sion
46,76,10.0,10sion
47,79,9.0,10sion
48,96,9.0,10sion
49,103,8.0,10sion
50,114,9.0,10sion
51,118,6.0,10sion
52,119,9.0,10sion
53,128,6.0,10sion
54,156,8.0,10sion
55,237,9.0,10sion
56,241,8.0,10sion
57,250,10.0,10sion
58,251,10.0,10sion
59,285,10.0,10sion
60,286,6.0,10sion
61,292,6.0,10sion
62,305,10.0,10sion
63,316,10.0,10sion
64,340,6.0,10sion
65,364,10.0,10sion
66,366,10.0,10sion
67,369,7.0,10sion
68,430,9.0,10sion
69,433,7.0,10sion
70,445,10.0,10sion
71,477,6.0,10sion
72,479,8.0,10sion
73,536,7.0,10sion
74,539,5.0,10sion
75,551,10.0,10sion
76,555,10.0,10sion
77,556,8.0,10sion
78,562,10.0,10sion
79,563,10.0,10sion
80,564,9.0,10sion
81,576,6.0,10sion
82,618,9.0,10sion
83,627,8.0,10sion
84,628,10.0,10sion
85,640,7.0,10sion
86,647,9.0,10sion
87,650,6.0,10sion
88,10,1.0,1bilbo
89,44,3.0,1bilbo
90,188,8.0,1bilbo
91,248,1.0,1bilbo
92,290,10.0,1bilbo
93,299,5.0,1bilbo
